,model,original_score_v2_0,original_score_v2_1,attacked_score_v2_0_PGD,attacked_score_v2_1_PGD,attacked_score_v2_0_FGSM,attacked_score_v2_1_FGSM,decrease_rate_v2_0_PGD,decrease_rate_v2_1_PGD,decrease_rate_v2_0_FGSM,decrease_rate_v2_1_FGSM
0,scores\dreamshaper,0.315,0.3816,0.278,0.3022,0.2996,0.3574,0.11746031746031739,0.20807127882599574,0.04888888888888897,0.06341719077568134
1,scores\dreamshaper,0.314,0.378,0.282,0.325,0.3015,0.3657,0.1019108280254778,0.14021164021164018,0.03980891719745226,0.03253968253968248
2,scores\dreamshaper,0.3171,0.3813,0.2798,0.313,0.2974,0.3547,0.11762850835698518,0.1791240493050091,0.06212551245663827,0.06976134277471796
3,scores\dreamshaper,0.3171,0.358,0.2803,0.303,0.298,0.3386,0.11605171870072532,0.1536312849162011,0.06023336486912648,0.05418994413407814
4,scores\dreamshaper,0.3215,0.3667,0.2815,0.2998,0.299,0.34,0.12441679626749622,0.1824379601854377,0.06998444790046662,0.07281156258521952
5,scores\dreamshaper,0.3137,0.3704,0.2795,0.3154,0.294,0.3506,0.10902135798533616,0.14848812095032396,0.06279885240675803,0.053455723542116584
6,scores\dreamshaper,0.3152,0.3755,0.286,0.319,0.3008,0.3552,0.09263959390862946,0.15046604527296936,0.04568527918781716,0.05406125166444736
7,scores\dreamshaper,0.3354,0.3955,0.2769,0.2932,0.3064,0.363,0.1744186046511628,0.2586599241466498,0.08646392367322592,0.08217446270543623
8,scores\dreamshaper,0.2979,0.3767,0.274,0.3452,0.2869,0.3645,0.08022826451829465,0.0836209185027873,0.03692514266532397,0.03238651446774619
9,scores\dreamshaper,0.2842,0.3313,0.2474,0.2512,0.271,0.2961,0.1294862772695285,0.24177482644129192,0.04644616467276562,0.10624811349230308
10,scores\dreamshaper,0.295,0.3462,0.2554,0.2761,0.2769,0.328,0.13423728813559313,0.20248411322934717,0.06135593220338985,0.05257076834199883
11,scores\dreamshaper,0.2869,0.335,0.2551,0.2769,0.2742,0.317,0.1108400139421401,0.17343283582089564,0.04426629487626347,0.05373134328358213
12,scores\dreamshaper,0.2961,0.3643,0.2546,0.2852,0.2798,0.3457,0.14015535292131032,0.21712874004940982,0.05504896994258691,0.05105682130112546
13,scores\dreamshaper,0.2908,0.3523,0.2585,0.295,0.2737,0.3164,0.11107290233837687,0.1626454726085723,0.05880330123796425,0.10190178824865168
14,scores\dreamshaper,0.2954,0.343,0.2524,0.255,0.2803,0.318,0.1455653351387948,0.25655976676384845,0.05111712931618146,0.07288629737609335
15,scores\dreamshaper,0.2961,0.3496,0.2588,0.2927,0.28,0.3362,0.1259709557581898,0.16275743707093823,0.05437352245862867,0.03832951945080098
16,scores\dreamshaper,0.2883,0.2964,0.2493,0.2374,0.2725,0.2783,0.1352757544224766,0.199055330634278,0.05480402358654173,0.061066126855600554
17,scores\dreamshaper,0.2942,0.3,0.2625,0.2517,0.2778,0.2874,0.10774983004758669,0.16100000000000003,0.05574439157036038,0.042
18,scores\dreamshaper,0.2847,0.2864,0.258,0.2378,0.2761,0.2788,0.09378292939936776,0.16969273743016752,0.03020723568668773,0.026536312849161997
19,scores\dreamshaper,0.295,0.3066,0.2666,0.2673,0.2808,0.2964,0.0962711864406779,0.12818003913894327,0.04813559322033895,0.0332681017612524
20,scores\dreamshaper,0.3022,0.3254,0.264,0.2737,0.2817,0.2983,0.1264063534083389,0.158881376767056,0.0678358702845798,0.08328211432083593
21,scores\dreamshaper,0.277,0.263,0.2094,0.1781,0.2622,0.243,0.24404332129963904,0.3228136882129278,0.053429602888086764,0.07604562737642592
22,scores\dreamshaper,0.2832,0.2722,0.2527,0.2332,0.2676,0.2563,0.10769774011299445,0.1432770022042616,0.05508474576271187,0.05841293166789135
23,scores\dreamshaper,0.288,0.286,0.2583,0.2434,0.2769,0.2756,0.10312500000000002,0.14895104895104885,0.03854166666666667,0.036363636363636244
24,scores\dreamshaper,0.3123,0.325,0.269,0.2847,0.2886,0.315,0.13864873519052195,0.124,0.07588856868395773,0.030769230769230795
25,scores\dreamshaper,0.3079,0.341,0.273,0.302,0.2893,0.322,0.1133484897694056,0.11436950146627575,0.0604092237739526,0.05571847507331383
26,scores\dreamshaper,0.3152,0.3418,0.2815,0.3142,0.3013,0.3267,0.10691624365482237,0.08074897600936225,0.04409898477157351,0.04417788180222353
27,scores\dreamshaper,0.3123,0.342,0.2664,0.2688,0.2869,0.3171,0.14697406340057634,0.21403508771929836,0.08133205251360881,0.07280701754385974
28,scores\dreamshaper,0.3132,0.3267,0.2559,0.2524,0.2778,0.2986,0.1829501915708811,0.22742577288031826,0.11302681992337162,0.08601163146617696
29,scores\dreamshaper,0.3071,0.3538,0.2744,0.3215,0.2893,0.3418,0.1064799739498535,0.09129451667608818,0.057961576033865134,0.03391746749576035
30,scores\dreamshaper,0.3093,0.3235,0.27,0.283,0.2837,0.309,0.1270611057225994,0.1251931993817621,0.08276753960556098,0.04482225656877902
31,scores\dreamshaper,0.3147,0.3477,0.2751,0.3079,0.2915,0.336,0.12583412774070535,0.11446649410411275,0.07372100413091834,0.033649698015530596
32,scores\dreamshaper,0.2983,0.3352,0.2532,0.2773,0.2732,0.3223,0.1511900771035871,0.17273269689737472,0.08414347971840433,0.038484486873508424
33,scores\dreamshaper,0.2986,0.331,0.2527,0.2744,0.2695,0.3003,0.1537173476222371,0.17099697885196385,0.0974547890154051,0.09274924471299095
34,scores\dreamshaper,0.3035,0.372,0.2683,0.3462,0.2852,0.355,0.11598023064250415,0.06935483870967739,0.060296540362438165,0.04569892473118284
35,scores\dreamshaper,0.2986,0.3257,0.2433,0.2363,0.2676,0.301,0.18519758874748826,0.2744857230580288,0.10381781647689207,0.07583665950260976
36,scores\dreamshaper,0.3022,0.3408,0.2556,0.2837,0.2717,0.3064,0.1542025148908009,0.16754694835680747,0.10092653871608215,0.10093896713615019
37,scores\dreamshaper,0.2976,0.36,0.2708,0.3352,0.2805,0.3508,0.09005376344086019,0.06888888888888886,0.05745967741935467,0.02555555555555552
38,scores\dreamshaper,0.2966,0.3464,0.259,0.2957,0.2734,0.334,0.12677006068779492,0.14636258660508075,0.0782198246797033,0.035796766743648865
39,scores\dreamshaper,0.2952,0.3281,0.2544,0.2808,0.2747,0.309,0.13821138211382114,0.14416336482779643,0.0694444444444445,0.05821395915879307
40,scores\dreamshaper,0.3098,0.3193,0.2708,0.2654,0.2957,0.3096,0.12588766946417054,0.16880676479799547,0.04551323434473854,0.03037895396179138
41,scores\dreamshaper,0.297,0.278,0.2468,0.2,0.273,0.2502,0.16902356902356902,0.28057553956834536,0.08080808080808069,0.10000000000000016
42,scores\dreamshaper,0.3064,0.3228,0.2676,0.2627,0.2913,0.3079,0.12663185378590078,0.18618339529120195,0.04928198433420366,0.04615861214374216
43,scores\dreamshaper,0.3025,0.3125,0.2747,0.272,0.2854,0.2856,0.09190082644628096,0.12959999999999994,0.056528925619834726,0.08607999999999993
44,scores\dreamshaper,0.2983,0.306,0.2484,0.2164,0.2776,0.271,0.16728126047603084,0.29281045751633983,0.06939322829366408,0.11437908496732019
45,scores\dreamshaper,0.2766,0.264,0.2466,0.22,0.2634,0.2389,0.10845986984815617,0.1666666666666667,0.04772234273318868,0.09507575757575762
46,scores\dreamshaper,0.2847,0.2693,0.2467,0.206,0.2742,0.2487,0.1334738321039691,0.2350538432974378,0.036880927291886224,0.07649461567025614
47,scores\dreamshaper,0.293,0.2717,0.2454,0.2064,0.2717,0.2491,0.16245733788395897,0.24033860875966137,0.07269624573378836,0.08317997791682005
48,scores\dreamshaper,0.3196,0.3916,0.2637,0.2712,0.2925,0.3604,0.1749061326658323,0.3074565883554648,0.08479349186483108,0.07967313585291115
49,scores\dreamshaper,0.3223,0.3777,0.2637,0.2678,0.2874,0.3486,0.1818181818181818,0.29097167063807255,0.10828420726031644,0.07704527402700545
50,scores\dreamshaper,0.327,0.3867,0.2776,0.3093,0.2979,0.3657,0.1510703363914373,0.2001551590380139,0.08899082568807344,0.05430566330488742
51,scores\dreamshaper,0.321,0.3992,0.2754,0.3088,0.2961,0.3804,0.14205607476635523,0.2264529058116232,0.07757009345794402,0.047094188376753464
52,scores\dreamshaper,0.3142,0.3699,0.2622,0.26,0.287,0.3389,0.16549968173138127,0.29710732630440656,0.086569064290261,0.08380643417139774
53,scores\dreamshaper,0.303,0.3687,0.264,0.265,0.2866,0.3418,0.12871287128712866,0.28125847572552215,0.054125412541254025,0.07295904529427728
